actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
-5.077452,-2.059386,-1.424866,0.570669,1.967330,6.199388,0.295849,0.552595,0.443030,-1.355425,-0.148928,-0.115959
-5.077440,-2.059434,-1.424878,0.570681,1.967366,6.199424,0.295845,0.552613,0.442995,-1.355472,-0.148931,-0.115880
-5.077440,-2.059398,-1.424866,0.570717,1.967390,6.199448,0.295838,0.552597,0.443024,-1.355393,-0.148954,-0.115869
-5.077428,-2.059398,-1.424890,0.570681,1.967318,6.199400,0.295838,0.552604,0.443013,-1.355446,-0.148920,-0.115930
-5.077428,-2.059374,-1.424866,0.570705,1.967366,6.199412,0.295830,0.552594,0.443039,-1.355379,-0.148969,-0.115909
-5.077440,-2.059409,-1.424830,0.570681,1.967342,6.199400,0.295845,0.552606,0.443030,-1.355402,-0.148943,-0.115938
-5.077464,-2.059350,-1.424878,0.570717,1.967366,6.199412,0.295847,0.552574,0.443049,-1.355360,-0.148950,-0.115947
-5.077428,-2.059398,-1.424878,0.570693,1.967390,6.199388,0.295832,0.552603,0.443018,-1.355423,-0.148994,-0.115898
-5.077440,-2.059386,-1.424890,0.570669,1.967354,6.199412,0.295841,0.552598,0.443019,-1.355448,-0.148934,-0.115906
-5.077440,-2.059398,-1.424818,0.570669,1.967354,6.199424,0.295843,0.552603,0.443042,-1.355392,-0.148940,-0.115914
-5.077428,-2.059398,-1.424866,0.570681,1.967354,6.199424,0.295835,0.552605,0.443023,-1.355425,-0.148940,-0.115893
-5.077452,-2.059386,-1.424854,0.570657,1.967354,6.199400,0.295848,0.552596,0.443034,-1.355426,-0.148940,-0.115933
-5.077452,-2.059386,-1.424818,0.570693,1.967318,6.199412,0.295850,0.552594,0.443051,-1.355359,-0.148918,-0.115969
-5.077464,-2.059398,-1.424854,0.570681,1.967330,6.199412,0.295857,0.552594,0.443028,-1.355416,-0.148906,-0.115953
-5.077452,-2.059409,-1.424878,0.570693,1.967330,6.199388,0.295851,0.552600,0.443011,-1.355437,-0.148925,-0.115956
-5.077452,-2.059398,-1.424842,0.570669,1.967378,6.199412,0.295847,0.552599,0.443032,-1.355415,-0.148955,-0.115910
-5.077464,-2.059434,-1.424854,0.570645,1.967342,6.199388,0.295862,0.552610,0.443003,-1.355483,-0.148915,-0.115944
-5.077452,-2.059422,-1.424854,0.570717,1.967354,6.199424,0.295850,0.552602,0.443015,-1.355405,-0.148929,-0.115920
-5.077452,-2.059362,-1.424866,0.570681,1.967366,6.199424,0.295843,0.552586,0.443045,-1.355393,-0.148942,-0.115916
-5.077440,-2.059422,-1.424890,0.570669,1.967342,6.199412,0.295846,0.552610,0.442997,-1.355482,-0.148916,-0.115903
-5.077440,-2.059398,-1.424902,0.570693,1.967366,6.199436,0.295840,0.552599,0.443008,-1.355450,-0.148928,-0.115877
-5.077428,-2.059422,-1.424830,0.570705,1.967378,6.199376,0.295836,0.552611,0.443024,-1.355388,-0.149001,-0.115927
-5.077440,-2.059434,-1.424866,0.570669,1.967342,6.199400,0.295848,0.552614,0.443000,-1.355470,-0.148927,-0.115917
-5.077452,-2.059422,-1.424854,0.570681,1.967366,6.199460,0.295851,0.552606,0.443013,-1.355441,-0.148906,-0.115871
-5.077440,-2.059409,-1.424866,0.570657,1.967342,6.199376,0.295845,0.552608,0.443014,-1.355457,-0.148946,-0.115941
-5.077428,-2.059446,-1.424902,0.570717,1.967330,6.199400,0.295842,0.552616,0.442979,-1.355470,-0.148925,-0.115915
-5.077476,-2.059398,-1.424830,0.570705,1.967354,6.199448,0.295861,0.552589,0.443039,-1.355374,-0.148904,-0.115931
-5.077452,-2.059398,-1.424890,0.570669,1.967378,6.199460,0.295847,0.552598,0.443012,-1.355463,-0.148911,-0.115856
-5.077440,-2.059422,-1.424854,0.570705,1.967366,6.199400,0.295843,0.552607,0.443014,-1.355414,-0.148961,-0.115918
-5.077428,-2.059409,-1.424878,0.570669,1.967330,6.199412,0.295839,0.552610,0.443010,-1.355459,-0.148919,-0.115908
-5.077464,-2.059409,-1.424878,0.570693,1.967354,6.199400,0.295856,0.552596,0.443011,-1.355438,-0.148929,-0.115940
-5.077428,-2.059434,-1.424878,0.570681,1.967342,6.199412,0.295841,0.552616,0.442995,-1.355470,-0.148927,-0.115897
-5.077452,-2.059386,-1.424854,0.570657,1.967366,6.199376,0.295846,0.552592,0.443052,-1.355382,-0.148935,-0.115927
-5.077464,-2.059434,-1.424854,0.570705,1.967354,6.199424,0.295859,0.552604,0.443006,-1.355429,-0.148915,-0.115923
-5.077452,-2.059398,-1.424818,0.570657,1.967354,6.199412,0.295850,0.552601,0.443042,-1.355404,-0.148937,-0.115930
-5.077464,-2.059386,-1.424830,0.570657,1.967342,6.199424,0.295856,0.552593,0.443044,-1.355406,-0.148910,-0.115939
-5.077440,-2.059434,-1.424854,0.570693,1.967354,6.199424,0.295846,0.552612,0.443006,-1.355438,-0.148929,-0.115899
-5.077464,-2.059409,-1.424842,0.570717,1.967366,6.199436,0.295855,0.552595,0.443027,-1.355383,-0.148928,-0.115919
-5.077464,-2.059374,-1.424878,0.570681,1.967354,6.199388,0.295852,0.552586,0.443032,-1.355415,-0.148942,-0.115957
-5.077404,-2.059409,-1.424866,0.570693,1.967378,6.199436,0.295821,0.552615,0.443016,-1.355423,-0.148968,-0.115846
-5.077452,-2.059409,-1.424890,0.570681,1.967354,6.199412,0.295850,0.552601,0.443005,-1.355460,-0.148924,-0.115912
-5.077428,-2.059434,-1.424878,0.570693,1.967354,6.199412,0.295839,0.552615,0.442996,-1.355459,-0.148940,-0.115892
-5.077428,-2.059422,-1.424842,0.570693,1.967330,6.199424,0.295840,0.552612,0.443018,-1.355414,-0.148922,-0.115913
-5.077428,-2.059409,-1.424854,0.570657,1.967366,6.199412,0.295837,0.552611,0.443019,-1.355447,-0.148952,-0.115888
-5.077428,-2.059398,-1.424902,0.570717,1.967342,6.199424,0.295835,0.552600,0.443009,-1.355425,-0.148930,-0.115901
-5.077464,-2.059434,-1.424878,0.570681,1.967366,6.199400,0.295859,0.552606,0.442995,-1.355473,-0.148930,-0.115921
-5.077428,-2.059446,-1.424878,0.570717,1.967330,6.199388,0.295842,0.552617,0.442989,-1.355447,-0.148938,-0.115932
-5.077428,-2.059398,-1.424842,0.570669,1.967342,6.199412,0.295837,0.552606,0.443032,-1.355413,-0.148940,-0.115915
-5.077416,-2.059446,-1.424866,0.570693,1.967354,6.199460,0.295834,0.552623,0.442993,-1.355461,-0.148915,-0.115841
-5.077440,-2.059386,-1.424866,0.570693,1.967378,6.199400,0.295838,0.552596,0.443031,-1.355402,-0.148974,-0.115914
-5.077428,-2.059409,-1.424854,0.570681,1.967330,6.199376,0.295839,0.552609,0.443021,-1.355422,-0.148952,-0.115949
-5.077428,-2.059386,-1.424854,0.570705,1.967342,6.199400,0.295834,0.552599,0.443036,-1.355378,-0.148957,-0.115935
-5.077488,-2.059422,-1.424854,0.570693,1.967378,6.199400,0.295869,0.552594,0.443013,-1.355429,-0.148935,-0.115947
-5.077416,-2.059434,-1.424878,0.570681,1.967342,6.199436,0.295834,0.552620,0.442995,-1.355471,-0.148918,-0.115866
-5.077428,-2.059422,-1.424866,0.570669,1.967354,6.199376,0.295839,0.552614,0.443007,-1.355456,-0.148964,-0.115922
-5.077440,-2.059386,-1.424830,0.570693,1.967354,6.199364,0.295840,0.552597,0.443046,-1.355366,-0.148986,-0.115971
-5.077428,-2.059409,-1.424842,0.570717,1.967330,6.199376,0.295838,0.552606,0.443027,-1.355377,-0.148963,-0.115964
-5.077440,-2.059386,-1.424854,0.570669,1.967366,6.199436,0.295840,0.552599,0.443034,-1.355415,-0.148936,-0.115888
-5.077464,-2.059434,-1.424878,0.570717,1.967378,6.199424,0.295857,0.552602,0.442997,-1.355440,-0.148933,-0.115903
-5.077464,-2.059409,-1.424878,0.570693,1.967342,6.199448,0.295857,0.552596,0.443011,-1.355441,-0.148886,-0.115907
-5.077464,-2.059409,-1.424866,0.570681,1.967378,6.199400,0.295855,0.552598,0.443015,-1.355438,-0.148949,-0.115924
-5.077452,-2.059422,-1.424842,0.570681,1.967390,6.199436,0.295849,0.552606,0.443017,-1.355428,-0.148945,-0.115878
-5.077440,-2.059398,-1.424866,0.570681,1.967366,6.199400,0.295841,0.552601,0.443023,-1.355424,-0.148958,-0.115915
-5.077476,-2.059398,-1.424842,0.570705,1.967330,6.199436,0.295863,0.552589,0.443034,-1.355385,-0.148890,-0.115954
-5.077428,-2.059422,-1.424830,0.570693,1.967366,6.199448,0.295837,0.552612,0.443023,-1.355404,-0.148939,-0.115871
-5.077428,-2.059398,-1.424842,0.570657,1.967342,6.199376,0.295837,0.552608,0.443032,-1.355422,-0.148962,-0.115941
-5.077416,-2.059386,-1.424830,0.570705,1.967378,6.199412,0.295825,0.552603,0.443046,-1.355355,-0.148993,-0.115898
-5.077476,-2.059422,-1.424866,0.570717,1.967378,6.199436,0.295862,0.552595,0.443009,-1.355419,-0.148922,-0.115910
-5.077404,-2.059409,-1.424878,0.570681,1.967366,6.199424,0.295822,0.552615,0.443010,-1.355446,-0.148960,-0.115857
-5.077452,-2.059409,-1.424854,0.570693,1.967378,6.199400,0.295848,0.552601,0.443021,-1.355414,-0.148963,-0.115920
-5.077452,-2.059446,-1.424878,0.570693,1.967342,6.199400,0.295855,0.552612,0.442988,-1.355472,-0.148918,-0.115927
-5.077452,-2.059446,-1.424842,0.570681,1.967366,6.199388,0.295854,0.552614,0.443002,-1.355448,-0.148952,-0.115928
-5.077452,-2.059446,-1.424842,0.570681,1.967366,6.199388,0.295854,0.552614,0.443002,-1.355448,-0.148952,-0.115928
-5.077428,-2.059409,-1.424866,0.570681,1.967342,6.199424,0.295838,0.552609,0.443015,-1.355436,-0.148927,-0.115898
-5.077476,-2.059374,-1.424866,0.570681,1.967378,6.199412,0.295857,0.552583,0.443037,-1.355406,-0.148941,-0.115934
-5.077440,-2.059398,-1.424842,0.570693,1.967366,6.199412,0.295841,0.552600,0.443033,-1.355391,-0.148958,-0.115916
-5.077464,-2.059398,-1.424890,0.570681,1.967366,6.199424,0.295854,0.552593,0.443013,-1.355451,-0.148920,-0.115908
-5.077452,-2.059398,-1.424854,0.570681,1.967354,6.199388,0.295849,0.552598,0.443028,-1.355414,-0.148951,-0.115947
-5.077452,-2.059422,-1.424842,0.570681,1.967318,6.199400,0.295855,0.552606,0.443018,-1.355426,-0.148909,-0.115957
-5.077440,-2.059422,-1.424842,0.570681,1.967366,6.199424,0.295844,0.552610,0.443018,-1.355426,-0.148942,-0.115895
-5.077404,-2.059374,-1.424842,0.570681,1.967366,6.199412,0.295818,0.552604,0.443047,-1.355377,-0.148985,-0.115889
-5.077440,-2.059409,-1.424854,0.570681,1.967354,6.199424,0.295844,0.552605,0.443020,-1.355426,-0.148932,-0.115903
-5.077452,-2.059398,-1.424890,0.570657,1.967378,6.199424,0.295847,0.552600,0.443011,-1.355472,-0.148933,-0.115882
-5.077452,-2.059398,-1.424854,0.570669,1.967330,6.199376,0.295851,0.552599,0.443027,-1.355424,-0.148936,-0.115969
-5.077440,-2.059422,-1.424842,0.570657,1.967342,6.199424,0.295847,0.552612,0.443016,-1.355449,-0.148916,-0.115904
-5.077452,-2.059398,-1.424878,0.570681,1.967390,6.199412,0.295846,0.552597,0.443017,-1.355438,-0.148959,-0.115895
-5.077464,-2.059422,-1.424890,0.570693,1.967318,6.199400,0.295861,0.552600,0.442998,-1.355461,-0.148893,-0.115957
-5.077452,-2.059409,-1.424854,0.570681,1.967390,6.199424,0.295847,0.552602,0.443020,-1.355427,-0.148954,-0.115889
-5.077440,-2.059422,-1.424842,0.570705,1.967366,6.199400,0.295843,0.552607,0.443019,-1.355402,-0.148963,-0.115922
-5.077416,-2.059398,-1.424842,0.570717,1.967378,6.199400,0.295826,0.552605,0.443034,-1.355366,-0.148998,-0.115904
-5.077428,-2.059398,-1.424878,0.570681,1.967354,6.199388,0.295835,0.552604,0.443017,-1.355434,-0.148961,-0.115919
-5.077464,-2.059398,-1.424818,0.570717,1.967354,6.199376,0.295854,0.552591,0.443045,-1.355346,-0.148967,-0.115988
-5.077452,-2.059422,-1.424866,0.570669,1.967366,6.199388,0.295851,0.552607,0.443007,-1.355459,-0.148950,-0.115924
-5.077440,-2.059409,-1.424890,0.570681,1.967342,6.199388,0.295844,0.552605,0.443005,-1.355458,-0.148938,-0.115931
-5.077452,-2.059434,-1.424878,0.570693,1.967354,6.199400,0.295853,0.552608,0.442996,-1.355460,-0.148931,-0.115922
-5.077464,-2.059409,-1.424878,0.570669,1.967354,6.199388,0.295857,0.552599,0.443009,-1.355460,-0.148931,-0.115943
-5.077452,-2.059422,-1.424878,0.570681,1.967378,6.199400,0.295850,0.552605,0.443002,-1.355460,-0.148952,-0.115906
-5.077428,-2.059398,-1.424878,0.570681,1.967378,6.199400,0.295833,0.552604,0.443017,-1.355435,-0.148973,-0.115893
-5.077428,-2.059409,-1.424866,0.570669,1.967354,6.199400,0.295837,0.552610,0.443015,-1.355446,-0.148950,-0.115906
-5.077440,-2.059434,-1.424890,0.570693,1.967354,6.199376,0.295846,0.552611,0.442991,-1.355469,-0.148953,-0.115929
-5.077452,-2.059409,-1.424830,0.570681,1.967354,6.199424,0.295850,0.552602,0.443030,-1.355404,-0.148929,-0.115920
-5.077452,-2.059398,-1.424830,0.570705,1.967330,6.199376,0.295850,0.552596,0.443039,-1.355368,-0.148950,-0.115987
-5.077464,-2.059446,-1.424866,0.570669,1.967306,6.199376,0.295866,0.552611,0.442992,-1.355483,-0.148893,-0.115978
-5.077416,-2.059386,-1.424902,0.570681,1.967378,6.199388,0.295825,0.552604,0.443015,-1.355444,-0.148987,-0.115889
-5.077428,-2.059434,-1.424866,0.570705,1.967342,6.199412,0.295840,0.552614,0.443002,-1.355436,-0.148935,-0.115907
-5.077440,-2.059409,-1.424854,0.570693,1.967330,6.199412,0.295845,0.552604,0.443021,-1.355414,-0.148922,-0.115933
-5.077440,-2.059409,-1.424866,0.570693,1.967366,6.199376,0.295842,0.552604,0.443016,-1.355423,-0.148974,-0.115935
-5.077440,-2.059409,-1.424878,0.570705,1.967354,6.199388,0.295842,0.552602,0.443011,-1.355424,-0.148956,-0.115933
-5.077452,-2.059422,-1.424878,0.570705,1.967366,6.199400,0.295850,0.552603,0.443004,-1.355438,-0.148947,-0.115921
-5.077452,-2.059422,-1.424878,0.570729,1.967354,6.199400,0.295850,0.552601,0.443005,-1.355415,-0.148943,-0.115936
-5.077452,-2.059386,-1.424854,0.570705,1.967390,6.199388,0.295843,0.552591,0.443036,-1.355379,-0.148989,-0.115933
-5.077464,-2.059398,-1.424878,0.570669,1.967342,6.199400,0.295857,0.552595,0.443017,-1.355450,-0.148916,-0.115944
-5.077464,-2.059409,-1.424830,0.570681,1.967354,6.199400,0.295857,0.552599,0.443030,-1.355404,-0.148937,-0.115951
-5.077416,-2.059386,-1.424854,0.570705,1.967354,6.199424,0.295826,0.552602,0.443036,-1.355379,-0.148959,-0.115897
-5.077428,-2.059422,-1.424878,0.570693,1.967354,6.199400,0.295838,0.552611,0.443003,-1.355447,-0.148950,-0.115905
-5.077464,-2.059422,-1.424842,0.570705,1.967378,6.199364,0.295856,0.552600,0.443019,-1.355402,-0.148981,-0.115964
-5.077440,-2.059409,-1.424878,0.570681,1.967330,6.199412,0.295845,0.552605,0.443010,-1.355448,-0.148914,-0.115922
-5.077464,-2.059362,-1.424866,0.570681,1.967366,6.199412,0.295850,0.552582,0.443045,-1.355393,-0.148942,-0.115936
-5.077452,-2.059446,-1.424854,0.570693,1.967378,6.199412,0.295852,0.552613,0.442998,-1.355450,-0.148946,-0.115899
-5.077464,-2.059398,-1.424878,0.570681,1.967342,6.199388,0.295856,0.552594,0.443018,-1.355438,-0.148927,-0.115958
-5.077440,-2.059398,-1.424842,0.570669,1.967366,6.199436,0.295842,0.552603,0.443032,-1.355415,-0.148936,-0.115888
-5.077404,-2.059409,-1.424854,0.570657,1.967378,6.199412,0.295823,0.552618,0.443019,-1.355445,-0.148979,-0.115859
-5.077440,-2.059422,-1.424890,0.570681,1.967402,6.199376,0.295841,0.552609,0.442997,-1.355468,-0.148993,-0.115896
-5.077440,-2.059398,-1.424878,0.570669,1.967390,6.199424,0.295839,0.552602,0.443017,-1.355449,-0.148956,-0.115871
-5.077428,-2.059409,-1.424830,0.570693,1.967354,6.199388,0.295837,0.552608,0.443031,-1.355389,-0.148972,-0.115934
-5.077452,-2.059398,-1.424866,0.570729,1.967354,6.199436,0.295847,0.552593,0.443025,-1.355382,-0.148926,-0.115917
-5.077440,-2.059398,-1.424818,0.570693,1.967390,6.199400,0.295839,0.552601,0.443043,-1.355368,-0.148992,-0.115916
-5.077440,-2.059422,-1.424878,0.570681,1.967342,6.199400,0.295846,0.552609,0.443002,-1.355459,-0.148929,-0.115920
-5.077428,-2.059398,-1.424866,0.570693,1.967342,6.199424,0.295836,0.552604,0.443023,-1.355414,-0.148933,-0.115905
-5.077416,-2.059398,-1.424878,0.570669,1.967366,6.199424,0.295828,0.552609,0.443017,-1.355447,-0.148952,-0.115868
-5.077428,-2.059398,-1.424830,0.570705,1.967354,6.199388,0.295835,0.552603,0.443039,-1.355366,-0.148978,-0.115941
-5.077428,-2.059398,-1.424842,0.570681,1.967378,6.199376,0.295834,0.552605,0.443033,-1.355399,-0.148998,-0.115924
-5.077440,-2.059422,-1.424842,0.570693,1.967378,6.199388,0.295843,0.552608,0.443018,-1.355413,-0.148979,-0.115920
-5.077416,-2.059398,-1.424866,0.570681,1.967378,6.199436,0.295827,0.552608,0.443023,-1.355424,-0.148960,-0.115856
-5.077428,-2.059386,-1.424842,0.570705,1.967342,6.199436,0.295834,0.552599,0.443042,-1.355369,-0.148935,-0.115908
-5.077452,-2.059422,-1.424830,0.570705,1.967366,6.199412,0.295850,0.552604,0.443024,-1.355393,-0.148950,-0.115925
-5.077440,-2.059386,-1.424842,0.570681,1.967354,6.199436,0.295841,0.552598,0.443040,-1.355393,-0.148932,-0.115903
-5.077464,-2.059422,-1.424866,0.570693,1.967402,6.199388,0.295854,0.552601,0.443008,-1.355437,-0.148977,-0.115917
-5.077452,-2.059409,-1.424938,0.570705,1.967342,6.199412,0.295850,0.552598,0.442986,-1.355483,-0.148908,-0.115913
-5.077440,-2.059409,-1.424902,0.570693,1.967366,6.199376,0.295842,0.552603,0.443001,-1.355457,-0.148966,-0.115924
-5.077452,-2.059409,-1.424842,0.570693,1.967378,6.199388,0.295848,0.552601,0.443026,-1.355402,-0.148974,-0.115934
-5.077440,-2.059422,-1.424866,0.570657,1.967330,6.199400,0.295848,0.552612,0.443006,-1.355471,-0.148916,-0.115925
-5.077452,-2.059409,-1.424902,0.570645,1.967342,6.199400,0.295852,0.552605,0.442998,-1.355505,-0.148910,-0.115916
-5.077416,-2.059422,-1.424854,0.570681,1.967330,6.199376,0.295834,0.552617,0.443013,-1.355433,-0.148957,-0.115936
-5.077452,-2.059362,-1.424854,0.570657,1.967366,6.199400,0.295844,0.552589,0.443049,-1.355403,-0.148955,-0.115932
-5.077464,-2.059422,-1.424854,0.570669,1.967354,6.199412,0.295859,0.552603,0.443012,-1.355450,-0.148918,-0.115926
-5.077428,-2.059374,-1.424842,0.570693,1.967402,6.199400,0.295828,0.552596,0.443048,-1.355367,-0.149010,-0.115898
-5.077464,-2.059409,-1.424842,0.570729,1.967366,6.199400,0.295854,0.552593,0.443028,-1.355370,-0.148955,-0.115953
-5.077476,-2.059409,-1.424902,0.570729,1.967354,6.199400,0.295861,0.552589,0.443003,-1.355428,-0.148924,-0.115953
-5.077440,-2.059422,-1.424794,0.570705,1.967330,6.199412,0.295847,0.552608,0.443039,-1.355358,-0.148936,-0.115951
-5.077464,-2.059446,-1.424866,0.570681,1.967378,6.199424,0.295860,0.552610,0.442992,-1.355474,-0.148924,-0.115893
-5.077416,-2.059398,-1.424878,0.570681,1.967354,6.199412,0.295829,0.552608,0.443017,-1.355435,-0.148953,-0.115889
-5.077428,-2.059386,-1.424842,0.570705,1.967330,6.199376,0.295835,0.552599,0.443042,-1.355366,-0.148966,-0.115967
-5.077464,-2.059409,-1.424902,0.570693,1.967378,6.199412,0.295854,0.552596,0.443000,-1.355461,-0.148935,-0.115906
-5.077452,-2.059398,-1.424854,0.570705,1.967354,6.199400,0.295848,0.552595,0.443029,-1.355392,-0.148948,-0.115944
-5.077428,-2.059386,-1.424854,0.570693,1.967378,6.199412,0.295831,0.552600,0.443036,-1.355390,-0.148976,-0.115897
-5.077476,-2.059422,-1.424890,0.570681,1.967342,6.199376,0.295866,0.552598,0.442998,-1.355472,-0.148918,-0.115967
-5.077452,-2.059398,-1.424866,0.570705,1.967342,6.199364,0.295849,0.552595,0.443024,-1.355401,-0.148960,-0.115978
-5.077452,-2.059409,-1.424878,0.570681,1.967366,6.199376,0.295849,0.552601,0.443010,-1.355447,-0.148960,-0.115938
-5.077452,-2.059398,-1.424890,0.570693,1.967390,6.199412,0.295845,0.552596,0.443013,-1.355437,-0.148959,-0.115895
-5.077428,-2.059434,-1.424866,0.570741,1.967354,6.199388,0.295838,0.552611,0.443003,-1.355400,-0.148970,-0.115930
-5.077428,-2.059386,-1.424842,0.570693,1.967354,6.199388,0.295834,0.552600,0.443041,-1.355378,-0.148975,-0.115937
-5.077464,-2.059398,-1.424830,0.570645,1.967330,6.199412,0.295859,0.552598,0.443036,-1.355428,-0.148903,-0.115950
-5.077440,-2.059374,-1.424854,0.570681,1.967366,6.199376,0.295838,0.552594,0.443042,-1.355389,-0.148982,-0.115946
-5.077428,-2.059409,-1.424866,0.570693,1.967342,6.199400,0.295844,0.552603,0.443027,-1.355422,-0.148962,-0.115961
-5.077464,-2.059422,-1.424866,0.570681,1.967378,6.199400,0.295857,0.552602,0.443007,-1.355449,-0.148946,-0.115920
-5.077464,-2.059409,-1.424830,0.570705,1.967414,6.199388,0.295851,0.552596,0.443031,-1.355380,-0.149001,-0.115927
-5.077416,-2.059398,-1.424806,0.570669,1.967390,6.199400,0.295827,0.552611,0.443047,-1.355377,-0.149005,-0.115893
-5.077428,-2.059409,-1.424854,0.570693,1.967366,6.199364,0.295835,0.552608,0.443021,-1.355410,-0.148993,-0.115938
-5.077416,-2.059409,-1.424854,0.570693,1.967354,6.199388,0.295830,0.552611,0.443021,-1.355410,-0.148975,-0.115916
-5.077476,-2.059446,-1.424842,0.570693,1.967378,6.199376,0.295866,0.552606,0.443003,-1.355438,-0.148957,-0.115953
-5.077476,-2.059386,-1.424866,0.570681,1.967366,6.199400,0.295859,0.552587,0.443030,-1.355416,-0.148936,-0.115949
-5.077452,-2.059422,-1.424866,0.570693,1.967342,6.199388,0.295852,0.552604,0.443008,-1.355437,-0.148935,-0.115948
-5.077440,-2.059422,-1.424842,0.570693,1.967366,6.199400,0.295844,0.552608,0.443018,-1.355414,-0.148961,-0.115918
-5.077464,-2.059422,-1.424902,0.570669,1.967378,6.199388,0.295857,0.552602,0.442991,-1.355494,-0.148943,-0.115916
-5.077440,-2.059386,-1.424854,0.570717,1.967390,6.199424,0.295836,0.552594,0.443037,-1.355369,-0.148976,-0.115896
-5.077476,-2.059398,-1.424866,0.570717,1.967366,6.199448,0.295860,0.552587,0.443024,-1.355397,-0.148909,-0.115916
-5.077452,-2.059422,-1.424854,0.570705,1.967342,6.199412,0.295852,0.552604,0.443014,-1.355416,-0.148924,-0.115935
-5.077452,-2.059398,-1.424854,0.570717,1.967390,6.199412,0.295844,0.552594,0.443029,-1.355381,-0.148973,-0.115913
-5.077440,-2.059422,-1.424854,0.570681,1.967390,6.199412,0.295842,0.552609,0.443012,-1.355437,-0.148967,-0.115885
-5.077428,-2.059409,-1.424854,0.570693,1.967366,6.199376,0.295835,0.552608,0.443021,-1.355411,-0.148985,-0.115928
-5.077464,-2.059398,-1.424878,0.570669,1.967330,6.199388,0.295858,0.552595,0.443017,-1.355449,-0.148914,-0.115963
-5.077440,-2.059398,-1.424830,0.570657,1.967366,6.199400,0.295842,0.552604,0.443036,-1.355413,-0.148960,-0.115919
-5.077464,-2.059409,-1.424890,0.570693,1.967366,6.199376,0.295855,0.552596,0.443006,-1.355448,-0.148952,-0.115948
-5.077428,-2.059434,-1.424842,0.570693,1.967390,6.199400,0.295837,0.552616,0.443011,-1.355424,-0.148986,-0.115888
-5.077428,-2.059398,-1.424854,0.570729,1.967366,6.199388,0.295833,0.552600,0.443030,-1.355366,-0.148988,-0.115933
-5.077428,-2.059398,-1.424866,0.570705,1.967354,6.199400,0.295834,0.552602,0.443024,-1.355401,-0.148962,-0.115920
-5.077464,-2.059422,-1.424878,0.570693,1.967366,6.199376,0.295857,0.552601,0.443003,-1.355449,-0.148952,-0.115948
-5.077416,-2.059422,-1.424830,0.570681,1.967354,6.199424,0.295832,0.552617,0.443023,-1.355413,-0.148951,-0.115886
-5.077452,-2.059398,-1.424818,0.570693,1.967354,6.199400,0.295848,0.552597,0.443043,-1.355369,-0.148954,-0.115951
-5.077476,-2.059374,-1.424866,0.570681,1.967378,6.199412,0.295857,0.552583,0.443037,-1.355406,-0.148941,-0.115934
-5.077476,-2.059422,-1.424854,0.570681,1.967366,6.199352,0.295864,0.552599,0.443013,-1.355436,-0.148963,-0.115982
